id,name,town,price,type,host_name,rating,coordinates
0,Belem 1 Bedroom Historical Apartment,Lisboa,Cheap,Entire rental unit,Bruno,4.5,"38.6975, -9.19768"
1,Heart of Alfama Lisbon Center - Cur de l'Alfama,Lisboa,Moderate,Entire rental unit,Ellie,4.81,"38.71241, -9.12706"
2,Apartamento Alfama com vista para o rio!,Lisboa,Moderate,Entire rental unit,Barbara,4.56,"38.71082, -9.12719"
3,Alfama Hill - Boutique apartment,Lisboa,Moderate,Entire rental unit,Monica,4.8,"38.71156, -9.12987"
4,TheHOUSE - Your luxury home,Lisboa,Expensive,Entire rental unit,Francisco,4.92,"38.71108, -9.15979"
5,Modern and Cool Apartment in Lisboa,Lisboa,Moderate,Entire rental unit,Sara,4.68,"38.74571, -9.15264"
6,Happy Season,Lisboa,Cheap,Private room in rental unit,Bruno,5.0,"38.76427, -9.15301"
7,"Chiado, Alecrim walk to Riverfront",Lisboa,Expensive,Entire rental unit,S.,4.39,"38.70903, -9.14313"
8,Nice Apart.BAIRRO ALTO (ADAMASTOR) 6-1o,Lisboa,Moderate,Entire rental unit,David,4.44,"38.71062, -9.149"
9,Apartment for renting  in Lisbon,Lisboa,Moderate,Entire rental unit,Jose,4.24,"38.71195, -9.14463"
10,Small House Downtown Cascais,Cascais,Moderate,Entire residential home,Pim,4.94,"38.6965, -9.42571"
11,"Comfortable 4BR in historical villa, near market",Sintra,Expensive,Entire rental unit,Dagmar,5.0,"38.8038, -9.3797"
12,Cottage Countryside / Beaches Golf,Alenquer,Expensive,Entire cottage,Merces,5.0,"39.05965, -9.04733"
16,Studio Cascais- Panoramic sea view,Cascais,Moderate,Entire rental unit,Claudio,4.65,"38.70018, -9.43272"
25,Ocean View from The Sunny Flat,Cascais,Expensive,Entire condominium (condo),Mateus,5.0,"38.69922, -9.44053"
34,DAHOUSE SPORTS BEACH COLIVING & COWORKING RESIDENC,Cascais,Moderate,Private room in villa,Dahouse,4.25,"38.68647, -9.32989"
37,Sea views - 270 degrees,Mafra,Moderate,Entire rental unit,Nuno,4.0,"38.98554, -9.41597"
46,Gomes Freire Studio with Balcony,Cascais,Moderate,Entire rental unit,Luis,4.63,"38.6961, -9.42215"
51,Casa do Celeiro (architect/artist house),Sintra,Expensive,Entire cottage,Mary,4.95,"38.78808, -9.45999"
55,FADO/SAUDADE LargeRoom/priv.WC for 2 Sintra area,Sintra,Cheap,Private room in residential home,Teresa,4.67,"38.75831, -9.34034"
78,"Studio12 Monte Estoril, Cascais -Pool and tennis",Cascais,Moderate,Entire condominium (condo),Margarida,4.42,"38.71015, -9.40746"
83,"Sea View  Apartment Almocageme, Sintra",Sintra,Moderate,Entire rental unit,Mario,4.83,"38.79325, -9.47854"
84,CASA MAYA  - BEAUTIFUL STONE HOUSE,Mafra,Moderate,Tiny house,Eduardo,4.45,"38.88991, -9.31029"
85,Casa do Patio,Mafra,Expensive,Entire residential home,Eduardo,4.44,"38.89156, -9.31059"
88,Doll house,Cascais,Cheap,Entire guest suite,Carla&Rodrigo,4.73,"38.68727, -9.33687"
90,Casa da Rita - ein besonderer Ort,Sintra,Expensive,Entire residential home,Rita,4.8,"38.80669, -9.397194"
91,Central Cascais Great Terrace 5 px,Cascais,Moderate,Entire rental unit,Rita,4.56,"38.69914, -9.41998"
96,FAMILY HOUSE - DREAM SPOT - 2207/AL,Sintra,Expensive,Entire residential home,Paulo,4.5,"38.83981, -9.46096"
110,Spacious and family friendly villa at Lisbon coast,Torres Vedras,Expensive,Entire residential home,Iveta,4.17,"39.10812, -9.23511"
113,Challet Joset I Old Fashioned House,Cascais,Moderate,Entire chalet,Samantha,4.55,"38.69219, -9.35887"
121,Lovely Apartment close to the sea,Cascais,Moderate,Entire condominium (condo),Maria,4.77,"38.69901, -9.4398"
136,Da Silva Surfcamp Areia Branca,Lourinh,Expensive,Entire residential home,Daniel,5.0,"39.27423, -9.31898"
148,Casa de Pedra - CASAS DA MARIA,Lourinh,Moderate,Entire cottage,Teresa,4.71,"39.28927, -9.21705"
159,Fantastic Sea View in Ericeira,Mafra,Expensive,Entire rental unit,Luis Pedro,4.66,"38.98762, -9.41653"
169,Lavanda House Swimming pool Garden,Cadaval,Moderate,Entire cottage,Catarina,4.72,"39.23805, -9.12181"
173,Chalet with swimming pool in Sintra,Sintra,Moderate,Entire chalet,Pedro,4.77,"38.80579, -9.4721"
174,Calm house with pool in Sintra,Sintra,Moderate,Entire rental unit,Pedro,4.69,"38.80601, -9.47216"
177,Villa Azenhas do Mar,Sintra,Expensive,Entire cottage,Joao,4.67,"38.83733, -9.45994"
183,"Villa Oasis, beach village retreat",Lourinh,Moderate,Entire townhouse,Horacio,4.83,"39.2699, -9.33172"
191,Stunning Sintra Mountain Property,Sintra,Expensive,Entire villa,Ana,4.68,"38.79187, -9.39384"
195,"Quarto com charme em Alges, perto da cidade",Oeiras,Cheap,Private room in rental unit,Alice,4.89,"38.7056, -9.23021"
227,Casa do Jardim - a lovely corner!!!,Mafra,Moderate,Tiny house,Eduardo,4.59,"38.89013, -9.31186"
241,Have a nice stay!,Torres Vedras,Moderate,Entire rental unit,Manuela,4.52,"39.10096, -9.28196"
251,House in Ericeira's historic center,Mafra,Expensive,Entire residential home,Herwig,4.79,"38.9671, -9.41833"
272,Wonderful apartment 11km from Lisbon,Amadora,Moderate,Entire residential home,Barbara & Fernando,4.5,"38.76352, -9.22963"
289,WONDERFULL APT PACO DE ARCOS BEACH,Oeiras,Moderate,Entire rental unit,Albertino,4.68,"38.69555, -9.29309"
298,"2 bedroom fully renovated, sleeps 6",Mafra,Expensive,Entire villa,Monica,4.4,"38.99261, -9.40027"
299,casa da Catarina,Oeiras,Cheap,Private room in rental unit,Catarina,4.9,"38.71099, -9.23828"
326,FONTE DO CABO APARTMENT,Mafra,Moderate,Entire rental unit,Ana,4.77,"38.96213, -9.4144"
345,LOVELY Surf Beach HOUSE (RIBACOXOS),Mafra,Expensive,Entire cottage,Alexandra,4.9,"39.0115, -9.41648"
346,Casa OM,Mafra,Expensive,Entire residential home,Eduardo,4.46,"38.89141, -9.31065"
412,House near the Atlantic Ocean,Lourinh,Moderate,Entire residential home,Rudiger,4.81,"39.28163, -9.24819"
413,Underdog Surf House - double room 1,Lourinh,Moderate,Private room in residential home,Daniel (Underdog Surf House),5.0,"39.2639, -9.33052"
443,House for 8 on the west coast,Torres Vedras,Moderate,Entire residential home,Angela,4.76,"39.14654, -9.23387"
447,Underdog Surf House - double room 2,Lourinh,Moderate,Private room in residential home,Daniel (Underdog Surf House),5.0,"39.2638, -9.32945"
448,Underdog Surf House - Male shared room,Lourinh,Cheap,Shared room in residential home,Daniel (Underdog Surf House),5.0,"39.26423, -9.33112"
480,Underdog Surf House - Female Dorm,Lourinh,Cheap,Shared room in residential home,Daniel (Underdog Surf House),5.0,"39.26549, -9.32913"
493,Rural House silver coast Portugal,Lourinh,Cheap,Entire rental unit,Joao,4.6,"39.25498, -9.31701"
496,Canas Beach House (AL),Lourinh,Expensive,Entire residential home,Catarina,4.5,"39.26962, -9.33278"
510,Lines of Wellington - Apartment,Torres Vedras,Cheap,Entire rental unit,Maria E Joao,4.7,"39.10452, -9.2626"
583,Creto Village - Santa Cruz - 700 m beach,Torres Vedras,Moderate,Entire residential home,Pedro,5.0,"39.14733, -9.36084"
610,Moinho do Lebre - Rural lodging,Alenquer,Expensive,Entire residential home,Clotilde,4.85,"39.12758, -9.07922"
670,"Vimeiro, THE place for family vacations.",Torres Vedras,Cheap,Entire residential home,Andreia,4.67,"39.17484, -9.319"
749,The ideal place to get visit Lisbon,Oeiras,Moderate,Entire residential home,Rui,4.76,"38.71469, -9.25733"
785,Your family by the beach in Lisbon,Oeiras,Moderate,Entire rental unit,Ana,4.64,"38.69325, -9.29163"
876,Quinta de Sao Jose  Charm  and comfort near Lisbon,Sobral De Monte Agrao,Expensive,Private room in bed and breakfast,Ines,1.0,"39.03178, -9.12603"
931,Villa with pool in the hills 70 km,Cadaval,Moderate,Entire villa,Sandra E Joao,4.7,"39.1961, -9.0647"
974,T1 com Terraco Junto a Praia,Oeiras,Moderate,Entire rental unit,Teresa,4.23,"38.68517, -9.3204"
987,Wonderful house 10 minutes from Lisbon,Oeiras,Expensive,Entire villa,Franco,4.71,"38.72426, -9.2484"
1006,Country House near Lisbon,Arruda Dos Vinhos,Expensive,Entire residential home,Suzana,5.0,"38.97875, -9.11907"
1011,Amazing view apartment with Parking,Oeiras,Expensive,Private room in rental unit,Manuel And Catarina,4.69,"38.70137, -9.23476"
1024,Quinta de Alamgra,Torres Vedras,Expensive,Entire villa,Andre,4.5,"39.07129, -9.17943"
1134,Luxury & big Villa near Ericeira,Torres Vedras,Expensive,Entire residential home,Marian,5.0,"39.06336, -9.41431"
1171,Comfortable Rooms Lisboa near Benfica/Aguas Livres,Amadora,Cheap,Private room in rental unit,Carina,4.93,"38.74411, -9.20768"
1213,Santa Beach House - Shared Room,Torres Vedras,Cheap,Shared room in residential home,Ricardo,4.64,"39.13377, -9.37708"
